Table Names;response_date;user_id;nps_rating
mobile.csv;29.12.2020;14178;3
mobile.csv;29.10.2020;33221;1
mobile.csv;01.11.2020;21127;10
mobile.csv;07.12.2020;42894;3
mobile.csv;26.11.2020;30501;5
mobile.csv;01.12.2020;10941;9
mobile.csv;15.12.2020;30251;7
mobile.csv;06.10.2020;36268;7
mobile.csv;09.11.2020;17365;2
mobile.csv;19.12.2020;39719;10
mobile.csv;10.10.2020;40533;5
mobile.csv;26.12.2020;44639;7
mobile.csv;31.12.2020;45804;8
mobile.csv;01.11.2020;43875;10
mobile.csv;06.10.2020;23893;10
mobile.csv;05.12.2020;28635;8
mobile.csv;14.11.2020;12102;4
mobile.csv;15.10.2020;16537;7
mobile.csv;03.10.2020;34086;10
mobile.csv;11.12.2020;46288;9
mobile.csv;14.10.2020;49671;1
mobile.csv;16.11.2020;45576;7
mobile.csv;08.10.2020;42384;5
mobile.csv;10.11.2020;22507;4
mobile.csv;13.12.2020;21452;6
mobile.csv;10.11.2020;12377;6
mobile.csv;22.10.2020;34828;2
mobile.csv;28.10.2020;41156;7
mobile.csv;13.10.2020;20440;5
mobile.csv;21.12.2020;40153;6
mobile.csv;16.10.2020;29486;7
mobile.csv;05.12.2020;27664;7
mobile.csv;04.11.2020;10019;4
mobile.csv;19.12.2020;41597;7
mobile.csv;12.10.2020;12572;5
mobile.csv;30.12.2020;30852;7
mobile.csv;12.10.2020;40664;8
mobile.csv;28.10.2020;24521;1
mobile.csv;17.12.2020;29079;7
mobile.csv;07.12.2020;27278;1
mobile.csv;23.11.2020;23656;7
mobile.csv;01.10.2020;33471;7
mobile.csv;29.12.2020;49198;5
mobile.csv;29.12.2020;16953;5
mobile.csv;15.10.2020;10058;1
mobile.csv;04.11.2020;49180;8
mobile.csv;10.10.2020;20771;1
mobile.csv;06.11.2020;23807;7
mobile.csv;14.12.2020;38591;7
mobile.csv;07.11.2020;12176;8
mobile.csv;07.10.2020;45467;3
mobile.csv;30.10.2020;29924;10
mobile.csv;08.12.2020;13396;9
mobile.csv;18.11.2020;19078;8
mobile.csv;24.12.2020;45181;8
mobile.csv;04.10.2020;21803;8
mobile.csv;29.10.2020;46649;6
mobile.csv;03.12.2020;33559;9
mobile.csv;03.12.2020;22532;7
mobile.csv;30.10.2020;28798;10
mobile.csv;01.10.2020;40211;6
mobile.csv;02.12.2020;44951;3
mobile.csv;01.12.2020;32357;7
mobile.csv;07.11.2020;39191;6
mobile.csv;21.10.2020;26811;3
mobile.csv;28.10.2020;32471;1
mobile.csv;08.12.2020;15593;4
mobile.csv;08.10.2020;31865;4
mobile.csv;02.11.2020;40832;8
mobile.csv;28.10.2020;23316;9
mobile.csv;03.12.2020;16159;8
mobile.csv;27.10.2020;47446;10
mobile.csv;28.12.2020;14135;1
mobile.csv;27.12.2020;43148;9
mobile.csv;23.11.2020;46606;7
mobile.csv;08.12.2020;38285;10
mobile.csv;09.12.2020;48866;7
mobile.csv;23.12.2020;22084;5
mobile.csv;05.11.2020;47110;6
mobile.csv;10.10.2020;30266;5
mobile.csv;15.12.2020;32495;9
mobile.csv;08.11.2020;12517;6
mobile.csv;27.10.2020;26003;7
mobile.csv;06.11.2020;13370;1
mobile.csv;31.10.2020;18595;3
mobile.csv;19.11.2020;40182;9
mobile.csv;22.11.2020;12560;10
mobile.csv;04.11.2020;45021;6
mobile.csv;21.10.2020;33946;10
